Timestamp	Which course is your feedback for?	How do you find switching to Google Plus Community instead of Blackboard.com?	How do you find switching to the public course Web site instead of Blackboard.com hosted files?	How do you find switching to HTML articles for presentation instead of powerpoint?
1/27/2015 1:30:00	CSCI 4020U/SOFE 3960U: Compiler & Programming Languages	I prefer blackboard.com	I prefer Blackboard hosted content	I prefer HTML articles
1/27/2015 7:41:52	CSCI 2020U: Software System Development & Integration	I prefer blackboard.com	I prefer Blackboard hosted content	I prefer powerpoint
1/27/2015 10:06:54	CSCI 4020U/SOFE 3960U: Compiler & Programming Languages	I prefer blackboard.com	I prefer Blackboard hosted content	I prefer powerpoint
1/27/2015 10:22:38	CSCI 4020U/SOFE 3960U: Compiler & Programming Languages	I prefer blackboard.com	I prefer public course Web site	I prefer HTML articles
1/27/2015 11:57:55	CSCI 4020U/SOFE 3960U: Compiler & Programming Languages	I prefer blackboard.com	I prefer public course Web site	I prefer HTML articles
1/28/2015 1:03:02	CSCI 2020U: Software System Development & Integration	I prefer blackboard.com	I prefer public course Web site	I prefer HTML articles
1/28/2015 8:59:35	CSCI 2020U: Software System Development & Integration	I prefer blackboard.com	I prefer public course Web site	I prefer HTML articles
1/28/2015 11:14:02	CSCI 4020U/SOFE 3960U: Compiler & Programming Languages	I prefer blackboard.com	I prefer public course Web site	I prefer HTML articles
1/28/2015 11:19:20	CSCI 4020U/SOFE 3960U: Compiler & Programming Languages	I prefer blackboard.com	I prefer public course Web site	I prefer HTML articles
1/28/2015 12:15:00	CSCI 4020U/SOFE 3960U: Compiler & Programming Languages	I prefer blackboard.com	I prefer Blackboard hosted content	I prefer HTML articles
1/28/2015 12:26:06	CSCI 4020U/SOFE 3960U: Compiler & Programming Languages	I prefer blackboard.com	I prefer Blackboard hosted content	I prefer powerpoint
1/28/2015 12:37:41	CSCI 4020U/SOFE 3960U: Compiler & Programming Languages	I prefer blackboard.com	I prefer public course Web site	I prefer powerpoint
1/29/2015 9:59:00	CSCI 4020U/SOFE 3960U: Compiler & Programming Languages	I prefer blackboard.com	I prefer public course Web site	I prefer HTML articles
1/29/2015 10:01:34	CSCI 3055: Programming Languages	I prefer blackboard.com	I prefer public course Web site	I prefer HTML articles
1/29/2015 10:48:23	CSCI 4020U/SOFE 3960U: Compiler & Programming Languages	I prefer blackboard.com	I prefer public course Web site	I prefer HTML articles
1/29/2015 14:31:58	CSCI 2020U: Software System Development & Integration	I prefer blackboard.com	I prefer Blackboard hosted content	I prefer powerpoint
1/29/2015 18:35:53	CSCI 4020U/SOFE 3960U: Compiler & Programming Languages	I prefer blackboard.com	I prefer Blackboard hosted content	I prefer powerpoint
1/27/2015 1:05:24	CSCI 2020U: Software System Development & Integration	I prefer G+ community	I prefer Blackboard hosted content	I prefer powerpoint
1/27/2015 7:12:58	CSCI 3055: Programming Languages	I prefer G+ community	I prefer public course Web site	I prefer HTML articles
1/27/2015 7:35:08	CSCI 3055: Programming Languages	I prefer G+ community	I prefer public course Web site	I prefer powerpoint
1/27/2015 8:24:22	CSCI 4020U/SOFE 3960U: Compiler & Programming Languages	I prefer G+ community	I prefer Blackboard hosted content	I prefer HTML articles
1/27/2015 8:56:02	CSCI 4020U/SOFE 3960U: Compiler & Programming Languages	I prefer G+ community	I prefer public course Web site	I prefer HTML articles
1/27/2015 8:57:20	CSCI 3055: Programming Languages	I prefer G+ community	I prefer public course Web site	I prefer HTML articles
1/27/2015 8:58:31	CSCI 4020U/SOFE 3960U: Compiler & Programming Languages	I prefer G+ community	I prefer public course Web site	I prefer HTML articles
1/27/2015 10:38:10	CSCI 2020U: Software System Development & Integration	I prefer G+ community	I prefer public course Web site	I prefer HTML articles
1/28/2015 9:49:57	CSCI 2020U: Software System Development & Integration	I prefer G+ community	I prefer public course Web site	I prefer HTML articles
1/28/2015 9:51:16	CSCI 3055: Programming Languages	I prefer G+ community	I prefer public course Web site	I prefer HTML articles
1/28/2015 11:03:30	CSCI 3055: Programming Languages	I prefer G+ community	I prefer public course Web site	I prefer HTML articles
1/28/2015 11:40:56	CSCI 4020U/SOFE 3960U: Compiler & Programming Languages	I prefer G+ community	I prefer Blackboard hosted content	I prefer powerpoint
1/28/2015 12:20:27	CSCI 2020U: Software System Development & Integration	I prefer G+ community	I prefer public course Web site	I prefer HTML articles
1/28/2015 22:40:24	CSCI 2020U: Software System Development & Integration	I prefer G+ community	I prefer public course Web site	I prefer HTML articles
1/29/2015 10:28:20	CSCI 4020U/SOFE 3960U: Compiler & Programming Languages	I prefer G+ community	I prefer Blackboard hosted content	I prefer HTML articles
1/29/2015 11:39:50	CSCI 4020U/SOFE 3960U: Compiler & Programming Languages	I prefer G+ community	I prefer public course Web site	I prefer HTML articles
1/29/2015 14:09:35	CSCI 2020U: Software System Development & Integration	I prefer G+ community	I prefer public course Web site	I prefer HTML articles
1/30/2015 14:15:31	CSCI 2020U: Software System Development & Integration	I prefer G+ community	I prefer public course Web site	I prefer HTML articles
1/31/2015 17:28:19	CSCI 3055: Programming Languages	I prefer G+ community	I prefer public course Web site	I prefer HTML articles
1/31/2015 17:28:59	CSCI 4020U/SOFE 3960U: Compiler & Programming Languages	I prefer G+ community	I prefer public course Web site	I prefer HTML articles
2/2/2015 11:42:27	CSCI 4020U/SOFE 3960U: Compiler & Programming Languages	I prefer G+ community	I prefer Blackboard hosted content	I prefer HTML articles
2/2/2015 15:18:53	CSCI 2020U: Software System Development & Integration	I prefer G+ community	I prefer Blackboard hosted content	I prefer HTML articles
